Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,EntityFramework 6.1.3,,,,,"EntityFramework, 6.1.3  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.AspNet.WebApi.Client 5.2.3,,,,,"Microsoft.AspNet.WebApi.Client, 5.2.3  Recommendation:  Microsoft.AspNet.WebApi.Client, 6.0.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.AspNet.WebApi.Core 5.2.3,,,,,"Microsoft.AspNet.WebApi.Core, 5.2.3  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.AspNet.WebApi.OData 5.7.0,,,,,"Microsoft.AspNet.WebApi.OData, 5.7.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.AspNet.WebApi.Owin 5.2.3,,,,,"Microsoft.AspNet.WebApi.Owin, 5.2.3  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Azure.Mobile.Server 2.0.0,,,,,"Microsoft.Azure.Mobile.Server, 2.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Azure.Mobile.Server.Authentication 2.0.0,,,,,"Microsoft.Azure.Mobile.Server.Authentication, 2.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Azure.Mobile.Server.Entity 2.0.0,,,,,"Microsoft.Azure.Mobile.Server.Entity, 2.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Azure.Mobile.Server.Home 2.0.0,,,,,"Microsoft.Azure.Mobile.Server.Home, 2.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Azure.Mobile.Server.Quickstart 2.0.0,,,,,"Microsoft.Azure.Mobile.Server.Quickstart, 2.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Azure.Mobile.Server.Tables 2.0.0,,,,,"Microsoft.Azure.Mobile.Server.Tables, 2.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Data.Edm 5.8.1,,,,,"Microsoft.Data.Edm, 5.8.1  Recommendation:  Microsoft.Data.Edm, 5.8.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Owin 4.2.2,,,,,"Microsoft.Owin, 4.2.2  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.Owin.Security 3.0.1,,,,,"Microsoft.Owin.Security, 3.0.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Microsoft.WindowsAzure.ConfigurationManager 3.2.3,,,,,"Microsoft.WindowsAzure.ConfigurationManager, 3.2.3  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,XamarinBackendService\XamarinBackendService.csproj,File,XamarinBackendService\XamarinBackendService.csproj,,,Newtonsoft.Json 13.0.1,,,,,"Newtonsoft.Json, 13.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
